,HR_mean,HR_std,movement_mean,movement_std,eda_mean,eda_std,score_total,score_activeness,score_centeredness
0,0.5766433694252286,0.4260132717378586,0.3107165903217402,0.1831891656345026,0.18704361637275438,0.7144645364490474,0.5853658536585366,0.6666666666666666,0.8333333333333334
1,0.6377573313133849,0.3994238632843495,0.3527974288437881,0.36847655443560434,0.8837741888262323,0.38956955330515847,0.6463414634146342,0.6666666666666666,0.6666666666666666
2,1.0,0.5859903788175264,0.0,0.06395416431630013,0.0,0.0,0.34146341463414637,0.6666666666666666,0.16666666666666666
3,0.2734497178039622,0.7784919013075585,0.2944138362756988,0.27758855954335127,0.22287352555568254,0.9440096064083164,0.25609756097560976,0.16666666666666666,0.5
4,0.8611118033810022,0.8267057504971176,0.2932625886540752,0.2796705720020664,0.6295367544188467,0.5352418655933983,0.21951219512195122,0.5,0.0
5,0.5160967713156668,0.4733209090241171,0.2489130094303076,0.38350828757867583,0.43486246245614385,0.8298989772285132,0.3048780487804878,0.5,0.16666666666666666
6,0.4858329091321263,1.0,0.35075964622981526,0.44845128009953417,1.0,0.4254009623424705,0.8170731707317073,1.0,0.6666666666666666
7,0.48563903906514666,0.6368898717916627,0.6211465060141266,0.3660330070085302,0.7245996914864233,0.5438373045074614,0.12195121951219512,0.3333333333333333,0.16666666666666666
8,0.2383985552000331,0.2921626126334163,0.09759767833828442,0.1578623002923346,0.6706901368914775,0.3486050011671472,0.5609756097560976,0.5,0.6666666666666666
9,0.9760409148234757,0.8701029110674988,0.16797139777457978,0.20305554647497157,0.5937187547301077,0.5995771465732637,0.5853658536585366,0.6666666666666666,0.8333333333333334
10,0.4280376055194414,0.18131244418996864,0.09169740116451779,0.30799369238578617,0.47405876181636647,0.37413801028822147,0.0975609756097561,0.16666666666666666,0.0
11,0.4428189401291202,0.5343815754300896,0.44240139553232816,0.28671012611305335,0.2724120763234722,0.573377551189914,0.6463414634146342,0.6666666666666666,0.6666666666666666
12,0.0,0.10204734955505443,0.44240139553232816,0.28671012611305335,0.5442127504887592,0.7107628647945663,0.1951219512195122,0.3333333333333333,0.5
13,0.09556221057298964,0.05612060340674636,0.44240139553232816,0.28671012611305335,0.3415727443412092,0.5769287095536327,0.3902439024390244,0.6666666666666666,0.16666666666666666
14,0.3685660753865844,0.23130241872049737,0.5001584175160934,0.4659685610042123,0.3415727443412092,0.5769287095536327,0.4146341463414634,0.6666666666666666,0.5
15,0.4806002194784289,0.747152415283986,0.6395403096738549,0.37413907787812006,0.5101791916655032,0.6761603502273725,0.2073170731707317,0.5,0.16666666666666666
16,0.37676077800832236,0.09928006721351088,0.506108776291221,0.14620587350372008,0.4712135184354658,1.0,0.9390243902439024,1.0,1.0
17,0.18795129882233177,0.0,0.3838711161736695,0.0,0.44761190303710263,0.8220776137876123,0.3780487804878049,0.6666666666666666,0.3333333333333333
18,0.15442315579110535,0.3329971580541586,0.15584045034485963,0.2028384027555743,0.17280928736736553,0.4543867504068174,0.24390243902439024,0.5,0.3333333333333333
19,0.5017589813979755,0.6830808253007182,0.1684167813982956,0.15992087003637703,0.02513449591960551,0.2370250920000708,0.3048780487804878,0.16666666666666666,0.5
20,0.20369245683309065,0.10562375759958313,0.3095271313495334,0.1833038281248941,0.6353336464284706,0.6328001676586155,0.0,0.0,0.16666666666666666
21,0.4104442972004434,0.546871284321133,1.0,1.0,0.8350400492778155,0.5546912081746245,0.5487804878048781,1.0,0.3333333333333333
22,0.4761148686700105,0.11531419767203857,0.13150783949094894,0.10974674658981623,0.8689817142013869,0.3448589853923825,0.6951219512195121,0.5,0.8333333333333334
23,0.44635588320921926,0.10639204023281049,0.13150783949094894,0.10974674658981623,0.24817233180012058,0.5884639616006371,1.0,1.0,0.8333333333333334
